Code,German idioms,Literal translation,Meaning,Ambiguity,Valence M,Valence SD,Arousal M,Arousal SD,Familiar M,Familiar SD,Transparency M,Transparency SD,Figurative M,Figurative SD,Concreteness M,Concreteness SD,Knowledge of the idiomatic meaning ,Confidence M,Confidence SD,Length in letters,Length in words
117,einen Blick hinter die Kulissen werfen,to see behind the backdrops,"to look into something and its function, to look at how something works",A,0.84,1.10,2.68,1.66,5.24,1.60,5.53,1.81,3.65,1.70,4.90,2.47,85,6.07,1.44,33,6
118,auf zwei Hochzeiten tanzen,to dance at two weddings,to be involved in two things at the same time,A,-0.93,1.05,3.97,1.87,4.66,1.90,3.90,2.33,5.61,1.33,3.23,2.08,80,6.28,1.22,23,4
119,auf dem Holzweg sein,to be on the wood way/road,to try to resolve a problem but to be on the wrong way,A,-1.32,0.75,3.19,1.74,4.73,1.93,2.78,2.07,5.84,1.37,2.32,1.70,90,5.53,1.59,17,4
120,bei jemandem ist Hopfen und Malz verloren,hop and malt are lost with someone,every trust is lost in someone; to have no longer hope in someone's success/reliability,U,-1.77,0.90,3.94,1.90,4.86,1.92,2.97,2.27,5.90,1.14,2.16,1.73,82,6.90,0.31,35,7
121a,Jacke wie Hose sein,to be as jacket as trousers,to make no difference,U,-0.13,0.85,2.83,2.09,5.03,1.48,3.03,2.20,5.16,1.77,2.06,1.55,97,6.68,0.72,16,4
121b,gehüpft wie gesprungen sein,to be as hopped as jumped,to make no difference,U,0.00,0.76,2.45,1.52,4.96,1.72,4.03,2.24,4.91,1.77,2.97,2.01,96,6.35,1.09,24,4
122,vor die Hunde gehen,to go in front of the dogs,to be/get neglected; to die miserably; to collapse; to decay; to perish miserably; to be depraved,U,-2.45,0.77,5.13,1.68,4.60,1.90,2.84,2.13,5.88,1.41,2.87,2.11,85,6.35,0.98,16,4
123,einem kommt etwas langsam hoch ,something comes up (from the stomach) slowly,to find something disgusting; to no longer be able to tolerate something,A,-1.47,0.78,4.21,1.42,4.39,1.93,3.90,2.09,4.31,1.79,4.00,2.07,88,6.53,0.88,26,6
124,die Nase voll haben,to have the nose full,to no longer be able to tolerate something; to be fed up with something,A,-1.61,0.95,4.43,1.83,5.69,1.71,3.13,2.11,5.03,1.71,4.29,2.21,96,6.59,0.91,16,4
125,jemanden durch den Kakao ziehen,to drag someone through the cocoa/hot chocolate,to ridicule someone; to make fun of someone,A,-1.44,0.88,3.97,1.94,4.53,1.85,2.41,2.11,5.81,1.31,3.58,1.96,87,6.38,1.24,27,5
126,etwas auf die hohe Kante legen,to place something on the high edge,to save money for difficult times,A,1.17,0.99,3.06,2.08,5.14,1.85,2.66,2.19,5.00,1.59,3.35,2.06,86,6.50,0.84,25,6
127,alles für die Katz sein,to be all for the cat,something is wasted effort,A,-1.55,0.89,4.16,1.90,5.13,1.74,2.59,2.01,5.94,1.56,2.17,1.72,97,5.68,1.57,19,5
128,dagegen ist kein Kraut gewachsen,no herb has grown against that ,there's no solution/remedy for that,A,-0.68,1.11,3.33,1.81,4.63,1.59,4.63,1.77,5.00,1.57,3.16,2.27,94,5.67,1.66,28,5
129,wie ein Esel vorm Berg stehen,to stand in front of the mountain like a donkey,to feel overwhelmed by a task/something to do that requires a lot of effort,A,-1.04,0.64,3.00,1.41,2.70,1.61,2.33,1.73,5.43,1.50,2.89,2.08,69,5.97,1.70,24,6
130,Das ist eine brotlose Kunst,that's a breadless art,there's no money to earn with this,U,-1.50,0.84,3.07,1.96,5.28,1.73,4.77,2.06,4.07,1.62,2.70,2.14,97,6.73,0.60,23,5
131,Das ist keine Kunst,that's no art/piece of art,that's not hard/difficult,A,-1.00,1.03,2.65,1.66,5.30,1.66,4.44,2.33,2.78,1.39,2.58,2.25,100,6.28,1.31,16,4
132a,jemandem auf den Keks gehen,to go on someone's cookie/biscuit,to annoy someone,U,-1.55,0.68,3.93,1.84,5.86,1.33,2.61,2.14,5.97,1.43,2.33,1.54,100,6.03,1.67,23,5
132b,jemandem auf den Wecker/Zeiger gehen,to go on someone's alarm/hand,to annoy someone,U,-1.61,0.76,4.58,1.80,5.79,1.08,2.69,2.15,5.97,1.20,2.61,1.63,100,6.55,0.89,32,5
133,jemanden auf die Palme bringen,to bring someone up the palm tree,to make someone angry,A/U,-1.53,0.98,4.70,1.32,5.40,1.43,2.90,2.31,5.56,1.50,3.16,1.90,100,6.64,0.73,26,5
134,jemanden zur Weißglut bringen,to bring someone to white fervour/blaze/glow,to make someone furious/to rile someone,U,-2.10,0.83,5.58,1.34,5.07,1.94,3.60,2.21,5.50,1.65,2.79,2.11,96,6.11,1.10,26,4
135,an die Decke gehen,to go to the ceiling (because of anger),to get angry,U,-1.74,0.93,4.84,1.81,5.38,1.72,3.48,1.91,5.20,1.56,3.13,1.91,100,6.30,1.32,15,4
137,etwas kurz und klein schlagen,to beat something (until it becomes) short and small,to destroy something because of anger,A,-2.22,0.91,5.03,1.94,4.83,1.70,5.88,1.70,3.22,1.60,4.65,2.61,87,6.75,0.67,25,5
138,vor Wut kochen,to boil of rage,to be furious,U,-2.23,0.84,5.68,1.56,5.27,1.76,4.59,2.01,4.69,1.73,4.23,1.96,100,6.35,1.38,12,3
139,unter jemandes Pantoffel stehen,to stand under someone's slipper,to be dominated by someone/to be under someone's power,U,-1.66,0.77,3.81,1.74,3.90,2.09,3.35,2.26,5.77,1.20,2.70,2.02,93,4.80,2.46,28,4
140,seine Pappenheimer kennen,to know one's inhabitants of the city of Pappenheim,to know someone (most likely a group such as one's friends; a class; people from the same village) very well and to be able to predict their behaviour,U,0.63,1.19,2.97,1.67,4.62,1.70,2.38,2.08,5.19,1.75,1.66,1.34,84,5.83,1.56,23,3
141,mit Pauken und Trompeten durchfallen,to go down/fail with drums and trumpets,to fail miserably/dismally/gloriously,A,-2.19,0.69,4.48,1.67,4.00,2.23,3.00,2.10,5.28,1.44,3.63,2.34,96,6.62,0.78,32,5
142,Perlen vor die Säue werfen,to throw pearls to the sow,to waste something precious,A,-1.62,1.17,3.87,2.13,4.77,1.77,3.27,2.20,5.55,1.46,2.63,2.17,95,6.61,0.69,22,5
143,mit jemandem Katz und Maus spielen,to play cat and mouse with someone,to tease s.o. like a cat does with a mouse; to try to deceive someone; to avoid someone,A,-1.19,0.91,3.81,1.49,4.63,1.50,4.34,2.25,4.94,1.74,2.79,2.08,64,6.07,1.49,29,6
144,das Pferd von hinten aufzäumen,to bit/bridle the horse from the back,to do something wrongly; to do something the wrong order,A,-0.65,1.09,2.55,1.72,3.52,1.81,3.61,1.89,5.14,1.79,3.32,2.09,68,6.73,0.72,26,5
145,das ist keinen Pfifferling wert,That's not worth a chantarelle,that's not worth anything,A,-1.55,0.85,3.32,1.85,4.38,2.08,4.32,2.33,4.13,2.11,2.35,1.76,93,6.69,0.66,27,5
146,sie kümmern sich keinen Pfifferling um ihre Kinder,They don't give a chantarelle about their kids,they don't look after their kids at all; they don't care about their kids,U,-2.55,0.57,3.97,1.99,2.89,1.91,3.72,2.20,5.00,1.68,2.14,1.27,97,5.90,1.73,43,8
147,das Rad nicht neu erfinden,not to invent the wheel from scratch,not to invent something completely new and original,A,-0.23,0.92,2.55,1.61,4.31,1.79,4.50,2.18,4.63,1.48,2.62,2.03,86,6.00,1.67,22,5
148,jemandem das Wasser nicht reichen können,not to be able to reach someone's water,not to be as good as someone else (particularly in situations such as ex-partner vs. new partner; ex-chef vs. new one),A,-1.29,0.78,4.13,1.80,5.43,1.48,3.22,2.35,5.38,1.64,3.10,2.09,96,6.52,1.06,35,6
149,Öl ins Feuer gießen,to pour oil in the fire,to make a big problem even bigger,A,-1.72,0.85,4.81,1.47,4.87,1.81,5.06,2.17,4.45,1.61,4.23,2.30,100,6.07,1.49,16,4
150,aus einer Mücke einen Elefanten machen,to make an elephant out of a midge,to exaggerate something; to make a big fuss out of a little thing,U,-1.32,0.79,4.32,1.58,4.97,2.06,5.06,1.79,5.03,1.67,2.94,2.05,97,6.66,0.61,33,6
151,in ein Wespennest stechen,to prick into a wasps nest,to bring on a huge problem; to cause major trouble; to create a disturbance; to touch upon a delicate issue; to be exposed to harsh criticism; to create many enemies,A,-1.43,1.10,4.97,1.35,3.81,1.94,4.37,2.09,4.63,1.70,4.10,2.50,84,6.61,0.83,22,4
152,schlafende Hunde wecken,to awake sleeping dogs,to make someone aware of a problem that then becomes one's own problem; to bring up a topic that has been long forgotten,A,-1.37,0.76,3.61,1.93,4.79,1.86,4.23,1.87,5.00,1.95,3.26,2.31,93,6.31,1.37,21,3
153,es geht um die Wurst,It's about the sausage,it is very important,A,0.13,0.85,4.45,1.77,5.53,1.59,2.13,1.93,5.09,1.67,2.72,2.12,96,6.63,0.93,16,5
154,jemandem raucht der Kopf,someone's head smokes,to be overstrained; someone thinks about something strenuously,U,-1.06,0.89,3.90,1.86,5.07,1.91,4.22,2.21,5.25,1.50,3.47,2.30,100,6.64,0.87,21,4
155,mit jemandem ein Hühnchen zu rupfen haben,to have a young chicken to pluck with someone,"to have an issue to solve with someone, e.g., if someone damaged my car",A,-1.35,0.75,4.42,1.82,5.03,1.75,2.52,2.11,5.28,1.95,3.50,2.05,96,6.11,1.53,35,7
156,mit jemandem unter vier Augen sprechen,to talk with someone under four eyes,to talk privately with someone,U,0.00,0.72,3.57,1.83,6.13,1.20,5.81,1.76,3.19,1.78,5.07,2.36,100,6.22,1.45,33,6
157,den Hut nehmen müssen,to have to take the hat,"to have to leave a position, e.g., in a firm",A,-1.16,1.37,4.08,1.85,4.08,2.18,3.59,2.27,4.60,1.71,3.14,2.10,78,6.17,1.23,18,4
158,jemanden feuern,to fire someone,to dismiss someone,U,-2.00,0.89,4.71,1.64,5.83,1.66,3.35,2.43,4.78,1.86,3.00,2.24,96,5.36,2.09,14,2
159,jemandem ein Dorn im Auge sein,to be a thorn in someone's eye,to be unbearable for someone; to be unbearably annoying to someone; to act against someone's interests,U,-2.00,0.77,4.33,1.60,4.76,1.62,5.00,1.86,5.34,1.45,3.71,2.40,96,6.07,1.76,25,6
160,wie warme Semmeln weggehen,to go away like hot bread rolls,"to be very popular/liked (only for things, not persons); something sells very well",A*,2.00,1.00,3.58,1.98,4.57,1.68,4.47,1.93,3.88,1.88,4.07,2.12,97,6.32,0.94,23,4
161,wie ein Fisch im Wasser sein,to be as (healthy as) a fish in water,to be very healthy; to feel comfortable within one's envrionment/with something that one does,A,1.87,1.20,3.00,1.66,3.86,1.98,4.68,2.36,4.39,1.48,3.67,2.32,72,5.24,2.02,23,6
162,jemanden in den Sack stecken,to put someone in the sack,"to be (much) better than someone, e.g., in a competition",A,-0.45,1.33,3.97,1.61,3.71,1.60,3.03,2.15,4.90,1.52,3.30,2.35,85,6.00,1.54,24,5
163,jemandem die Suppe versalzen,to put too much salt in someone's soup,to spoil things for someone,A,-1.44,0.91,3.97,1.40,4.57,1.96,5.09,2.04,4.65,1.74,4.97,2.06,90,6.70,0.60,25,4
164,das ist ein Schlag ins Wasser,that's a blow in the water,that's a failure,A,-1.57,0.84,3.68,1.82,4.04,1.83,3.10,2.09,4.76,1.68,2.79,1.93,95,6.41,1.22,24,6
165,das Blaue vom Himmel versprechen,to promise the blue from the sky,to make exaggerate/impossible promises,U,-1.29,0.82,3.42,1.69,5.10,1.57,3.72,2.19,5.03,1.62,2.48,1.79,75,5.93,1.63,28,5
166,es graut mir,"it ""greys"" me",it horrifies me,U,-1.94,0.72,4.61,2.08,5.17,1.78,3.44,2.14,4.34,2.09,2.55,2.01,93,6.59,0.76,10,3
167,ins Schwarze treffen,to hit in the black,to hit something perfectly; to say/make something perfectly right,A,1.68,1.19,4.58,1.82,5.31,1.79,4.44,2.23,4.26,1.71,3.58,2.20,97,6.04,1.26,18,3
168,es ist nicht auf seinem Mist gewachsen,It hasn't grown on his dung (crap),it is not his idea; often used for negative events and explaining that this even was not his/her fault/responsibility,A,-0.48,1.06,3.29,1.88,4.93,1.75,3.59,2.21,4.75,1.85,2.40,1.67,100,6.59,0.80,32,7
169,keinen Cent in der Hose haben,to have no cent in the trousers,to have no money at all (with you),A,-2.03,0.97,3.07,2.00,3.69,2.29,6.00,1.86,3.03,1.89,4.10,2.50,96,6.32,1.17,24,6
170,es ist etwas im Gange,there is something going on/there is something under way,there's something going on; something is happening; something is being planned,A,-0.26,0.82,2.43,1.41,5.17,1.74,3.81,2.42,3.81,1.73,2.00,1.65,93,6.23,1.56,17,5
171,fest im Sattel sitzen,to sit steady on the saddle,to be secure/safe; to be in a secure position,A,1.77,0.68,3.07,1.82,3.86,1.75,4.90,1.76,5.09,1.67,4.03,2.27,92,6.30,1.59,18,4
172,das Tüpfelchen auf das i setzen,to put the dot on the i,to make something become perfect (not necessarily negative) more cognitive precision,A,0.94,1.34,3.71,1.83,4.37,2.08,3.52,2.23,4.84,1.68,2.77,1.96,77,6.28,1.28,26,6
173,die Kirsche aufs Sahnehäubchen setzen,to put the cherry on the cream cap/whipped cream,to make something become perfect (not necessarily negative) more cognitive precision,A,1.52,1.43,3.07,1.68,2.74,1.93,3.23,2.14,5.03,1.68,3.97,2.59,60,5.11,2.22,33,5
174,einen Geistesblitz haben,to have a genious lightning,to suddenly come up with a very good idea,U,1.94,0.93,4.16,1.83,5.31,1.56,4.29,2.18,5.23,1.67,2.94,1.90,100,6.17,1.17,22,3
175,den Kopf woanders haben,to have the head/mind somewhere else,to be distracted by non-relevant thoughts,U,-0.71,0.53,3.00,1.59,5.40,1.38,4.19,1.80,4.91,1.55,2.83,2.04,100,6.30,1.47,20,4
176,zwei Fliegen mit einer Klappe schlagen,to hit two flies with a clack,to resolve two issues at the same time/at once; to take two opportunities at the same time,A,1.58,0.99,3.42,1.93,5.55,1.76,5.10,1.87,4.94,1.79,4.00,2.48,90,6.15,1.54,33,6
177,vom Regen in die Traufe kommen,to come from rain to the drain pipe/rainwater pipe,to go from a bad situation to a worse one,A,-1.38,1.01,4.03,1.83,4.48,1.98,3.69,2.29,5.03,2.06,2.90,2.17,68,6.41,1.01,25,6
178,schlechte Laune haben,to have a bad mood,to be in a bad mood,U,-1.55,0.81,3.16,1.63,6.07,1.69,6.03,1.70,2.97,2.18,2.97,2.33,100,6.19,1.36,19,3
179,jemandem einen Korb geben,to give someone a basket,to reject someone who shows an interest in you/tries it on with you,A,-1.52,0.93,4.06,1.71,5.30,1.73,2.63,2.43,6.00,1.63,2.87,2.05,96,6.21,1.18,22,4
180a,sich auf dünnem Eis bewegen,to move on thin ice,to be in a risky situation,A,-1.42,0.72,4.48,1.59,5.03,1.67,5.48,1.88,4.31,1.96,4.48,2.64,62,6.57,0.82,23,5
180b,sich auf einer Gratwanderung befinden,to be on a tight rope walk,to be in a situation that can change very quickly from good to bad or the other way round; to be in a very complicated situation because of the possible consequences,U,-0.45,0.81,3.68,1.76,4.47,1.81,4.39,2.12,4.44,1.81,3.35,2.46,66,6.32,1.14,33,5
181a,mir fällt ein Stein vom Herzen,a stone is falling from my heart,to be emotionally relieved,U,1.90,1.04,4.68,1.51,5.59,1.68,5.06,1.75,5.25,1.50,3.26,2.16,100,5.92,1.64,25,6
181b,eine Last loswerden,to get rid of a load,to be relieved from something very demanding/from a big charge (less emotional),A,1.55,1.15,3.57,1.83,4.10,1.92,5.55,2.13,3.03,1.70,3.13,2.31,80,6.52,1.12,17,3
182,hochnäsig sein,"to be ""high-nosed""",to be a snob/posh/arrogant,U,-1.84,0.73,3.45,1.84,5.30,1.76,4.27,2.00,3.72,1.89,3.42,2.26,96,6.55,0.91,13,2
183,den Faden verlieren,to lose the thread,to not be able to continue and conclude a thought (also speech/discourse),A,-1.10,0.60,3.61,1.75,5.70,1.53,4.03,2.19,5.50,1.59,3.10,1.96,97,6.35,0.85,17,3
184,kein Blatt vor den Mund nehmen,to put no sheet in front of the mouth,"to speak frankly, plainly",A,0.10,1.08,3.81,1.89,5.60,1.61,3.75,2.34,4.72,1.49,3.93,2.09,89,5.96,1.51,25,6
185a,Klartext reden,to talk in clear text,to speak honestly,U,0.81,1.19,4.03,2.06,5.83,1.44,5.47,1.98,3.06,1.66,4.06,2.62,100,6.48,1.02,13,2
185b,mit jemandem reinen Tisch machen,to clear the table with someone,to speak honestly; to sovle problems that you had with that person,A,0.74,1.09,4.00,1.57,4.93,1.67,3.84,2.25,5.00,1.37,3.21,1.84,100,6.12,1.40,28,5
186,jemandem reinen Wein einschenken,to pour someone clear wine,to say/reveal the truth,A,0.84,1.32,3.77,1.77,5.00,1.54,3.23,2.04,5.47,1.37,4.10,2.15,90,5.85,1.80,29,4
187,ein Ass im Ärmel haben,to have an ace in the sleeve,to have something that helps winning and to use it when it is least expected,A,1.42,1.12,3.47,1.63,5.07,1.83,4.87,2.06,4.38,1.81,3.23,2.08,90,6.44,1.22,18,5
188,das Schlusslicht sein,to be the rear light,to be the last one or the worst one (not necessarily in a negative sense),U,-1.68,1.05,3.03,1.90,4.66,1.99,5.07,1.98,4.16,1.88,2.79,1.95,100,6.48,1.31,19,3
189,des Rätsels Lösung suchen,to look for the solution of the puzzle,to look for the actual/factual truth; to look for a solution,A,0.68,0.83,2.52,1.50,4.86,1.81,6.19,1.55,3.34,1.96,2.43,2.18,97,6.10,1.59,22,4
190,jemandem eins reinwürgen,to choke something into someone,to do something evil to someone,A,-1.97,1.20,4.45,1.77,5.10,1.69,4.06,2.03,5.00,1.48,3.23,1.98,73,5.21,2.20,22,3
191,Luftschlösser bauen,to build castles in the air,to make oneself delusions; to imagine situations that won't come true,U,-0.63,0.93,3.58,1.61,4.10,1.84,4.32,2.10,5.22,1.74,2.55,1.89,93,6.38,1.21,18,2
192,Klarschiff machen,to make clear boat/to clear the boat,to put order; to tidy up,A,1.23,0.96,3.03,2.04,5.24,1.55,3.50,2.36,4.42,1.73,2.60,1.77,97,6.10,1.57,16,2
193,Dreck am Stecken haben,to have mud/filth on the stick,to have done something forbidden; to have done something illegally,A,-2.10,0.83,4.52,1.57,5.17,1.65,3.28,2.02,5.16,1.78,2.70,2.23,96,6.59,0.87,19,4
194,jemandem eine harte Nuss zu knacken geben,to give someone a hard nut to crush,to give someone a very difficult task to execute,A,-0.39,0.84,3.63,1.87,4.34,2.06,4.53,1.78,4.88,1.74,3.87,2.34,96,6.79,0.62,35,7
195,den Stier bei den Hörnern packen,to catch the bull from the horns,to tackle a problem directly; not to be afraid of conflict,A,1.10,1.16,4.00,1.95,3.93,1.62,3.68,1.89,4.47,1.70,4.48,2.63,90,6.50,0.86,27,6
196,ein Problem an der Wurzel packen,to pack a problem at the root,to tackle a problem from its source,U,1.35,1.31,4.16,1.73,4.48,1.64,5.58,1.95,4.50,1.78,3.55,2.29,75,5.11,2.14,27,6
197,einen Frosch im Hals haben,to have a frog/lump in the throat,to be unable to speak; to have a hoarse/husky voice; to clear one's throat,A,-0.91,0.78,3.17,1.51,5.47,1.68,3.83,2.38,4.91,1.97,3.87,2.17,75,6.30,1.12,22,5
198,im Dunkeln tappen,to grope/pad in the dark,to have no idea at all,A,-1.09,0.64,3.39,1.45,4.80,1.88,5.13,2.01,3.88,1.77,4.32,2.48,97,6.53,1.05,15,3
199,in den Tag hineinträumen,to dream into the day (daydreamer),not to be realistic; to day-dream; to live in one's own world; to experience a day without stress,U,-0.19,1.03,2.90,1.85,4.76,1.79,5.13,2.00,3.41,1.70,2.77,2.04,63,6.30,1.18,21,4
200,den Kürzeren ziehen,to pull the shortest(s),to lose; to have disadvantages; to have bad luck,A,-1.35,0.71,3.71,1.75,5.55,1.62,4.34,2.12,4.58,1.69,2.97,2.10,96,6.21,1.20,17,3
201,Flausen im Kopf haben,to have nonsense in the head,to have weird ideas in mind,U,-0.87,1.02,3.06,1.59,4.87,1.59,3.53,2.20,4.81,1.79,2.10,1.66,93,5.52,2.04,18,4
202,den Schwanz einziehen,to pull in the tail,to run away from a scary/difficult situation; to be a coward,A,-1.52,0.72,3.87,1.67,4.97,1.64,3.59,2.11,5.03,1.62,3.87,2.25,94,5.64,1.87,19,3
203,der Magen hängt einem bis in die Kniekehlen,to have the stomach hanging in the hollow of the knee,to be extremely hungry,U,-1.61,0.92,3.79,1.99,3.96,2.03,4.20,2.30,4.67,1.79,3.74,2.25,91,6.33,1.45,36,8
204,die Karten offen legen,to lay the cards open,to be honest/to do things honestly,A,0.71,1.10,3.47,1.78,4.52,1.88,5.22,1.96,4.13,1.98,4.16,2.34,89,6.13,1.31,19,4
205,mit leeren Händen zurückkommen,to come back with empty hands,to get nothing out of something,A,-1.58,0.85,3.39,1.93,4.80,1.86,6.19,1.80,3.06,1.67,4.68,2.30,93,4.65,2.27,27,4
206,ich zähle die Sekunden,I count the seconds,to be unable to wait for something,A,-0.52,0.91,3.77,2.11,4.00,2.21,5.19,1.96,3.00,1.46,3.97,2.40,85,4.32,2.25,19,4
207,meine Tage sind gezählt,my days are counted,to be about to die; to have little time remaining to live,A,-2.47,0.63,4.39,1.73,3.50,1.93,4.74,2.11,4.23,1.57,2.73,2.38,79,6.45,1.35,22,4
208,mit einem Bein im Grab stehen,to stand with one leg in the grave,to be almost dead,A,-2.29,0.78,4.90,1.83,4.27,1.68,5.34,1.84,4.78,1.72,3.93,2.39,97,6.32,1.19,24,6
209,in der Blüte seiner Jahre sein,to be in the blossom of one's years,to be at one's best age,U,1.97,0.80,3.55,1.89,4.24,1.86,4.75,2.08,4.63,1.58,3.19,2.15,86,6.40,0.86,25,6
210,etwas für bare Münze nehmen,to take something for cash money,to believe something; to take something literally,A,-0.29,0.90,3.13,1.85,4.90,1.90,3.28,2.00,4.88,1.52,2.16,1.61,93,5.37,1.86,23,5
211,der Sieg ist zum Greifen nah,the victory is close to grasp,to be about to win,U,1.68,0.87,3.93,1.80,4.83,1.83,5.81,1.40,3.61,1.43,3.94,2.28,93,3.72,1.81,23,6
212,auf heißen Kohlen sitzen,to sit on hot/burning coal,to be in a situation that can no longer be tolerated/borne; to be in a hurry; to wait excitedly about something important; to feel impatient,A,-1.42,0.76,4.68,1.64,4.83,1.70,4.81,2.12,5.09,1.78,4.53,2.22,90,5.21,2.24,21,4
213,mit falschen Karten spielen,to play with wrong cards,to cheat,A,-1.72,0.73,3.58,1.88,4.40,1.98,5.32,2.09,3.91,1.53,3.39,2.32,93,6.50,1.01,24,4
214,den Schnabel halten,to hold one's beak shut,to shut up,A,-1.00,0.68,3.13,1.75,4.50,1.91,4.77,2.19,4.44,1.74,3.94,1.86,100,6.23,1.45,17,3
215,mit beiden Beinen im Leben stehen,to stay in life with both legs,to have a regular life; to have no illusions about life; to be very realistic about life,U,2.00,1.03,3.29,1.66,5.17,1.71,4.61,2.16,4.41,1.58,3.84,2.25,97,6.12,1.27,28,6
216,ohne mit der Wimper zu zucken,without twiching the eye lashes,to do something withouth hesitation,A,-0.03,1.28,3.65,1.87,5.27,1.84,4.40,1.85,3.91,1.73,4.68,2.39,94,4.68,2.39,24,6
217,die bittere Pille schlucken,to swallow the bitter pill,to accept something bad,A,-1.42,0.81,4.28,1.69,3.96,1.99,4.97,1.75,4.63,1.68,4.72,2.23,88,6.73,0.67,24,4
218,wie geschmiert laufen,to go as lubricated,to work very well/with no hindrance,A,2.10,0.83,3.53,2.03,5.00,1.58,4.81,1.80,3.88,1.54,3.63,2.25,100,6.55,1.15,19,3
219,zweigleisig fahren,to travel on two railtracks,to keep two options open at the same time (in particular having a second boy or girlfriend),U,-0.55,1.39,3.87,1.59,4.53,2.08,3.97,2.19,4.97,1.51,3.03,1.87,81,6.23,1.54,17,2
220,sich am Riemen reißen,to pull oneself at the belt/lace,to brace oneself; to do something important even though one is not in the mood to do it,U,0.19,1.08,4.29,1.77,5.53,1.50,2.97,2.12,5.13,1.56,3.42,2.26,91,6.67,0.48,18,4
221,keiner Fliege etwas zuleide tun,not to hurt a fly,to be very peaceful; to not hurt anyone,A,1.35,1.08,3.45,1.93,5.43,1.50,5.25,1.85,4.38,1.64,2.90,2.11,100,5.97,1.56,27,5
222,Himmel und Hölle in Bewegung setzen,to move heaven and hell,to use all one's possible strengths/efforts to achieve something,U,0.91,1.23,4.90,1.54,4.73,1.91,4.68,1.96,4.97,1.87,2.04,1.60,92,6.60,0.71,30,6
223,auf der Anklagebank sitzen,to sit at the dock,to be accused of something,A,-1.90,0.75,4.32,1.72,4.10,2.09,5.65,2.01,3.42,2.01,4.29,2.53,96,4.93,2.18,23,4
224,aufs falsche Pferd setzen,to bet on the wrong horse,to rely/count on the wrong person; to make the wrong decision,A,-1.45,0.72,3.38,1.63,4.89,1.55,4.72,2.22,4.81,1.67,3.06,2.11,76,6.52,1.21,22,4
225,etwas auf die leichte Schulter nehmen,to take something on the light shoulder,to be optimistic about something; to take something easy,U,-0.75,0.80,3.55,1.73,5.47,1.59,3.35,2.27,5.00,1.50,3.29,2.04,97,5.96,1.60,32,6
226,den Boden unter den Füßen verlieren,to lose ground under the feet,to suddenly lose things that gave stability,A,-2.06,0.93,4.74,2.03,5.20,1.88,5.31,1.86,5.03,1.66,3.76,2.20,97,6.52,0.78,30,6
227,jemanden wie eine Zitrone ausquetschen,to squeeze someone (out) like a lemon,to exploit someone; to interrogate someone,U,-1.61,0.80,4.32,1.78,3.75,2.10,5.58,1.50,4.47,1.90,4.25,2.46,83,6.48,0.95,34,5
228,nicht um den heißen Brei reden,not to talk about the hot pulp/mash,to tell the truth bluntly,U,0.56,1.41,3.60,1.90,5.57,1.43,3.19,2.23,5.50,1.63,3.41,2.34,89,6.00,1.55,25,6
229,das Handtuch werfen,to throw (away) the towel,to give up (something),A,-1.29,1.07,3.94,1.75,5.00,1.76,3.00,2.13,5.06,1.88,3.81,2.46,100,6.29,1.30,17,3
230,einen Traum hegen,to nourish a (secret) dream,to have a (secret) wish,U,1.71,0.94,3.71,1.83,4.17,1.97,4.52,2.06,3.75,1.68,2.81,2.24,89,6.00,1.69,15,3
231,es steckt noch in den Kinderschuhen,something still stands/sticks in the childen's shoes,to have a project that is not yet mature; to be at the beginning stage; to be at the beginning of the development,A,-0.45,0.81,2.81,1.72,4.31,1.75,4.74,2.00,4.63,1.88,2.35,1.82,90,3.87,2.14,30,6
232,sich auf halbem Weg treffen,to meet (at) half way,to come to a compromise with someone,A,0.65,0.84,2.97,1.62,4.63,1.61,5.67,1.42,4.06,1.61,3.60,2.28,90,6.59,1.05,23,5
233,im siebten Himmel sein,to be in the seventh heaven,to be extremely happy,U,2.61,0.80,5.45,1.52,5.40,1.73,3.16,2.16,5.75,1.46,2.10,1.68,100,5.67,1.79,19,4
234,aus dem Häuschen sein,to be out of the little house,to be very excited/happy,A,1.10,1.51,4.29,1.92,5.50,1.41,2.78,2.21,5.38,1.50,2.39,1.80,96,6.06,1.59,18,4
235,jmdm. den Kopf verdrehen,to spin someone's head,to let/make someone fall in love with you,A,1.03,1.20,4.97,1.50,5.33,1.69,3.84,2.26,5.09,1.55,3.66,2.21,85,6.37,0.88,21,4
236,mit einem blauen Auge davon kommen,to come out (of it) with a blue eye,"to get out of a situation with a negative outcome, but the outcome could have been much worse",A,0.84,1.07,4.23,1.56,5.31,1.51,4.29,2.08,4.53,1.52,3.70,2.42,90,5.95,1.62,29,6
237,sich aus dem Staube machen,to make oneself out of the dust,to run away,A,-1.19,1.08,3.52,1.57,5.33,1.79,3.38,2.34,5.00,1.55,2.72,1.65,100,5.43,1.91,22,5
238,es liegt mir auf der Zunge,it lies on my tongue,to have something to say but to be unable to recall it,A,0.03,0.75,2.81,1.74,5.69,1.61,5.13,1.58,4.59,1.58,4.06,2.28,94,6.67,0.61,21,6
239,nicht über den eigenen Tellerrand hinausgucken,to not be able to see beyond the (own) plate's rim,to be narrow-minded,A,-1.56,0.98,3.55,1.79,4.59,1.90,3.57,2.03,4.56,1.64,3.65,2.15,100,6.86,0.45,41,6
